app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,QM-emotion-A,QM-emotion-B,QM-comments,MO-emotion-A,MO-emotion-B,MO-comments,XF-emotion-A,XF-emotion-B,XF-comments,emotion-A-agreement,emotion-B-agreement
Todoist: to-do list & planner,PRODUCTIVITY,079f6740-fe65-4356-ab56-e8ec5049c4d0,1,"Jan 04, 2022",4,f_104,"Todoist is the cornerstone of my organizational system. I am an undergraduate student and use this app to manage my reading assignments, exam schedule, administrative deadlines etc. sync with windows 10 desktop app is awesome. I am a free user and would gladly pay a one time price for full features here but a monthly subscription is a turn off.","I am an undergraduate student and use this app to manage my reading assignments, exam schedule, administrative deadlines etc.",Trust,,,Trust,,,Trust,,,Trust,
Stuff - To Do List Widget,PRODUCTIVITY,07b4aa0d-d459-46de-bcc8-1861d0e77128,1,"Mar 06, 2022",5,f_210,"Perfect. Customizable. So easy to add items to lists and remove them when completed. Create any category you want. Make text any size or color. I dedicated another screen on my phone for this widget. Appointments, to do, groceries,etc. Much better and faster than using pen and paper. On my black background and the transparency options combined, the text stands right out. So many options. I would have paid a little more. Many thanks to the developer. Highly recommend!",Customizable.,Neutral,,,Joy,,,Joy,,,Joy,
Stuff - To Do List Widget,PRODUCTIVITY,07b4aa0d-d459-46de-bcc8-1861d0e77128,1,"Mar 06, 2022",5,f_233,"Perfect. Customizable. So easy to add items to lists and remove them when completed. Create any category you want. Make text any size or color. I dedicated another screen on my phone for this widget. Appointments, to do, groceries,etc. Much better and faster than using pen and paper. On my black background and the transparency options combined, the text stands right out. So many options. I would have paid a little more. Many thanks to the developer. Highly recommend!","On my black background and the transparency options combined, the text stands right out.",Neutral,,,Neutral,,,Trust,,,Neutral,
Just Run: Zero to 5K (and 10K),HEALTH_AND_FITNESS,07f84b75-45fb-4ec4-a04e-7c8abe4e1412,4,"Jul 23, 2022",5,f_506,"I really enjoy this app. It's simple to use , doesn't take up too much resources, doesn't require any crazy permissions. It does a good job announcing when you've completed half of your run and when to start cooling down. One thing that might make it slightly better, if there were a way to announce during your run how much time you have completed, like every 15 minutes or so. Overall a great running app!",Overall a great running app!,Joy,,,Joy,,,Joy,,,Joy,
Social Contact Photo Sync,SOCIAL,08079079-368a-4734-93e4-361f5024b351,0,"Mar 18, 2017",1,f_189,I cannot sync contacts with Facebook. I have official app and root. What a crap....,I cannot sync contacts with Facebook.,Sadness,,,Sadness,,,Sadness,,,Sadness,
CloudCal Calendar Agenda Plann,PRODUCTIVITY,0808202c-d3fa-451f-9e1b-f5a6cd24c316,0,"May 23, 2020",5,f_96,Love this Calendar! Sleek and visually simple but with plenty of features and app supports but not invasive. Setting notifications (standard or unique) is simple and cross device sync has never failed to remind me of an event wherever I've been.,Love this Calendar!,Joy,,,Trust,,,Trust,,,Trust,
Samsung Health,HEALTH_AND_FITNESS,08293fc9-5566-4c91-ade5-4c11e4ccf150,1,"Sep 12, 2022",1,f_360,"Advertises pulse, oxygen, etc. which were removed from app. Only good for steps and calorie counting now.",Only good for steps and calorie counting now.,Sadness,,,Sadness,,,Sadness,,,Sadness,
Work Shift Calendar,PRODUCTIVITY,08bdbca9-1826-4665-ada7-d34444ad014a,4,"Jul 12, 2022",5,f_109,"Update 2022: This app continued to be one of my preferred apps on play store. I love this app and I bought the paid version to help the developer. In my job I have non regular shifts patterns and the app helps me to make all them manually. When I have changes I use the notes and it is a very good way to record changes. I didn't use a lot the calendar sync to make a review. I hope they continue updating the app, however essentially I don't think it needs changes.",I didn't use a lot the calendar sync to make a review.,Neutral,,,Neutral,,,Reject,,The sentence reads confusing to me (even after reading the full comment!),Neutral,
Turtl,PRODUCTIVITY,090957c3-813b-446e-9d33-fdde6a4726f9,1,"Aug 24, 2019",5,f_310,Very cool so far. Basic and encrypted. Nice and simple layout. Syncs to Windows. Hoping to support it after some testing,Basic and encrypted.,Joy,Trust,,Trust,,,Neutral,Joy,"You could first argue that the two adjectives are neutral, but you expect that in a review they are positive, especially if together",Joy,Trust
Macros - Calorie Counter,HEALTH_AND_FITNESS,0925208b-7945-430d-ac99-c0acd599bc61,6,"Jun 28, 2022",4,f_439,Has searchable online food nutrient data and stores your copies and edits local. Contributed data is not always correct. Simple to use. Does this weird thing where if you add excercise it increases the daily value targets for some reason. Don't like that but otherwise mostly clean concise app. Would allow a person to export and reimport a spreadsheet of nutrient data to make mining the web easier. Barcode scanner doesn't work but I think it's my camera.,Barcode scanner doesn't work but I think it's my camera.,Sadness,Anticipation,,Sadness,,,Sadness,,This is kind of new feeling :) Nuanced sadness,Sadness,
Wemoji - WhatsApp Sticker Make,COMMUNICATION,093075c0-9224-4e8f-9292-16f633f212ba,0,"Feb 15, 2022",5,f_32,"The app is good,actually I love how i was able to make funny stickers and share them with my friends😏.Although I got annoyed with some ads but all in all great app.","The app is good,actually I love how i was able to make funny stickers and share them with my friends😏.",Joy,Trust,,Trust,,,Trust,,,Trust,
ColorNote Notepad Notes,PRODUCTIVITY,093e5cc6-8ec0-4825-9839-765734e0c4f5,1,"May 11, 2022",5,f_209,Great app. Well integrated sync between devices and simplistic UI.,Well integrated sync between devices and simplistic UI.,Joy,,,Joy,,,Joy,,,Joy,
True Phone Dialer & Contacts,COMMUNICATION,0963b508-97bd-4053-bd39-0ff960b659b1,1,"Jul 08, 2022",5,f_23,Custom features are simply amazing. Bringing Material design will uplift this app to an another level.,Bringing Material design will uplift this app to an another level.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
My Shift Planner - Calendar,PRODUCTIVITY,09a497f5-6260-4329-a89e-0a3d54da53d1,0,"Sep 15, 2022",5,f_494,I've had the free version of shift planner for years as I work Fifo and it helps me plan ahead knowing whether I'm at home or on break. Since purchasing the paid version I use the app more than ever before. I'd be lost without it now 😊,I've had the free version of shift planner for years as I work Fifo and it helps me plan ahead knowing whether I'm at home or on break.,Trust,,,Trust,,,Trust,,,Trust,
AccuWeather: Weather Radar,WEATHER,0a00723d-c25f-4882-8cc7-2123fd6923f5,0,"Sep 05, 2022",1,f_472,"// Update 9/4/22: The RADAR is still grossly inaccurate. // The RADAR forecast is not even close to accurate. People plan their days based on forecasts. In Florida we need to know when storms will arrive. Far more often than not this app shows storms but then nothing happens. People plan their days based on weather forecasts. And while it's impossible to be perfect, this app is far more wrong than correct.. I pay for this version and I expect better. It's garbage. Plain and simple. Trash.",// Update 9/4/22: The RADAR is still grossly inaccurate.,Disgust,Anger,,Fear,,,Disgust,,,Disgust,
Easy Message: text without sav,COMMUNICATION,0a2355a0-68e0-4503-80f7-62b03959c7a6,0,"Oct 06, 2021",5,f_46,Excelent applition for instant messaging on WhatsApp.,Excelent applition for instant messaging on WhatsApp.,Joy,,,Joy,,,Joy,,,Joy,
minimalist phone: Productivity,PRODUCTIVITY,0a7711f2-f2d0-4ba7-8791-16f3ac80f8e2,2,"Aug 29, 2022",1,f_126,"This is a paid service with recurring billing, it does not say so until you have completed downloading the app and the set up permissions. I would give a much better rating but this is just lame, you have to pay for a recurring plan, and you can pay more for unlimited use. But there is no way to use this app for free, and I wouldn't be surprised if a large amount of revenue comes from downloads immediately uninstalled because no one wants to subscribe to use a launcher... They're mostly free.","But there is no way to use this app for free, and I wouldn't be surprised if a large amount of revenue comes from downloads immediately uninstalled because no one wants to subscribe to use a launcher...",Disgust,,,Disgust,,,Disgust,,,Disgust,
Phone by Google,TOOLS,0a832706-3e1d-415a-9174-ca82b168754c,1,"Sep 15, 2022",1,f_215,Worst app by Google. Not able to provide basic features like caller id call recording,Not able to provide basic features like caller id call recording,Sadness,,,Sadness,,,Sadness,,,Sadness,
True Phone Dialer & Contacts,COMMUNICATION,0aaa4ad5-c21b-4fb4-89c1-939556635d21,1,"Jun 28, 2022",5,f_45,It's really very impressive.. It would be even more awesome if themes and custom background was added.. But all it all I love it,It would be even more awesome if themes and custom background was added..,Anticipation,,,Anticipation,,,Anticipation,Joy,Since the first part of the sentence is positive,Anticipation,
Google Keep - Notes and Lists,PRODUCTIVITY,0ab467a5-e143-4393-9519-1fbe1151b6c1,1,"Sep 06, 2022",1,f_140,"always buggy... almost every update is bad. how can such a simple app designed to make my workflow easier be such a problem. it doesnt sync random notes, some improtant information I wrote down simply got lost forever thanks to your app. I've lost more time troubleshooting this than all the other apps on my phone. jesus christ",how can such a simple app designed to make my workflow easier be such a problem.,Disgust,,,Sadness,Surprise,,Anger,,,,
True Phone Dialer & Contacts,COMMUNICATION,0b066f46-13b8-4130-8c69-4db6bb9c7967,0,"Jun 04, 2022",5,f_129,"Please add video calling option please thats it, in this app all function are good nice use","Please add video calling option please thats it, in this app all function are good nice use",Anticipation,Joy,,Anticipation,Trust,,Anticipation,Joy,"Same as above, the first part of the sentence is positive",Anticipation,Joy
ColorNote Notepad Notes,PRODUCTIVITY,0b300662-5ded-43f3-8bd1-7497e089d403,1,"Jul 07, 2022",5,f_482,"Simple and Fast. Encryption may be lacking..., Haven't had an issue yet!","Encryption may be lacking..., Haven't had an issue yet!",Fear,Joy,,Anticipation,Trust,,Sadness,,Another special feeling: conditional sadness :),,
Telegram,COMMUNICATION,0b5bb865-364f-4b08-ba38-bca9a7c73667,0,"Sep 06, 2022",4,f_54,Privacy settings to control who can add us to groups!,Privacy settings to control who can add us to groups!,Neutral,,,Trust,,"(I assume it is a feature it has, not that it requests)",Fear,,,,
WBTV First Alert Weather,WEATHER,0b644505-2e72-47d2-9115-9712064003cc,0,"May 18, 2022",2,f_60,"Too many notifications, ugh. I don't need a notification that says oh it will be nice tonight. I got the app for severe notifications. Don't see a setting for just that. Love wbtv but this wx app is overkill.","Too many notifications, ugh.",Sadness,Anger,Difficult... 'too many' is it angry? 'ugh' is it angry?,Sadness,,,Sadness,,,Sadness,
Google Assistant Go,TOOLS,0b8e0573-ec9f-4bc8-82a2-059469355ab1,2,"Jun 04, 2022",5,f_121,Orland Pollocp I bought ATX a ttszdttsttttts5tztttt5stztstttz 0p0ovvffffifuxuff UI iffiff ii's if I f fifffifffffffffifffififffifffrom the kids oooffooc kick off meeting ffk a lll lol IC lttzsttsz 55td555t5yd opportunities offered a job çxcxxuxf a a a a a FC FC FC FC ççccççvvv Hu X a,I bought ATX a ttszdttsttttts5tztttt5stztstttz 0p0ovvffffifuxuff UI iffiff ii's if I f fifffifffffffffifffififffifffrom the kids oooffooc kick off meeting ffk a lll lol IC lttzsttsz 55td555t5yd opportunities offered a job çxcxxuxf a a a a a FC FC FC FC ççccççvvv Hu X a,Reject,,,Reject,,,Reject,,,Reject,
Pomodoro Timer,PRODUCTIVITY,0b998d52-d383-4e20-96a3-5cba1f441501,1,"Jan 18, 2022",5,f_140,"Simple to use and such clean, relaxing design. I turn to this app when I'm having trouble focusing on a single task, just to bring a bit of extra structure to my workflow.","I turn to this app when I'm having trouble focusing on a single task, just to bring a bit of extra structure to my workflow.",Trust,,,Trust,,,Joy,Neutral,,Trust,
Huawei Health,HEALTH_AND_FITNESS,0b9f61b2-2b2c-41df-b938-121770d3cccd,2,"Sep 04, 2022",1,f_117,"Absolutely ridiculous app. I'm locked out of my watch now. First message was my watch is no longer supported. Then delete and reload. Try to login but need password reset so get reset code. Then I have to enter my old password to get my new one. How stupid is this? Thank goodness I have a Tic Watch. Update... If I request help from the app it takes THREE DAYS to process. This is a watch, not my bank account. Ridiculous!!!!",First message was my watch is no longer supported.,Sadness,,Although this is purely neutral... sadness is only implicit. And review is anger ,Sadness,,,Sadness,,,Sadness,
Loop Habit Tracker,PRODUCTIVITY,0c10e656-c938-4c52-a34b-e2d253cca485,0,"Apr 03, 2022",5,f_7,Simple and easy to use habit tracker,Simple and easy to use habit tracker,Joy,,,Joy,,,Joy,,,Joy,
WA.Status Saver - Downloader,SOCIAL,0c417e11-3b19-49a9-bded-9ed0d2e6664b,0,"Apr 02, 2022",5,f_128,I just love the aspect that it restores deleted messages. Saves video chat and very easy to use,I just love the aspect that it restores deleted messages.,Joy,,,Trust,,,Trust,,,Trust,
Garmin Smartphone Link,TRAVEL_AND_LOCAL,0c5be2eb-f26f-4c39-bc10-e44e11537392,3,"Jan 08, 2020",1,f_52,"App runs continuously. It won't shut off, comes on even when you aren't using the device or anywhere near it. Even if you force stop the app, it comes on again trying to connect to the device. Very annoying as it is also a push notification and shows on your status bar. Lots of apps run when not needed, but this one runs and shows you it's running. I've had to delete it.",Very annoying as it is also a push notification and shows on your status bar.,Disgust,,very annoying' is this rejecting?,Anger,,,Disgust,,"Because of the emphasis on the ""very""",Disgust,
Cozi Family Organizer,PRODUCTIVITY,0c6c1a25-af1c-47ac-9c2b-e719012dbd92,0,"May 06, 2022",5,f_101,We've been using Cozi as our shared family calendar and to-do list for over 10 years. We can't say enough good things about the app and it's developers.,We've been using Cozi as our shared family calendar and to-do list for over 10 years.,Trust,,,Trust,,,Trust,,,Trust,
Water Drink Reminder,HEALTH_AND_FITNESS,0c82b0eb-7464-4347-ac0d-c8f106fff314,0,"Apr 01, 2022",3,f_60,"Not bad but the ads get obnoxious, the notifications are spotty and it doesn't sync anything besides pulling wieght from fit.","Not bad but the ads get obnoxious, the notifications are spotty and it doesn't sync anything besides pulling wieght from fit.",Sadness,,,Sadness,,,Sadness,,"Not bad... could be positive, but then turns out into very negative",Sadness,
Garmin Smartphone Link,TRAVEL_AND_LOCAL,0ca81c4e-16e0-4576-ae7d-94fa1a9611c7,1,"Mar 14, 2020",1,f_133,Useless. Can't get it to connect without linking phone calls. My vehicle does that. I don't want it to answer phone calls. I want it to monitor traffic. It wants to do it all or nothing. I will delete it.,Can't get it to connect without linking phone calls.,Sadness,,,Surprise,,,Sadness,,,Sadness,
Lifesum: Healthy Eating & Diet,HEALTH_AND_FITNESS,0cfc1ebf-39dd-41e3-95cc-2e23b6e9ee31,1,"Aug 31, 2022",4,f_331,"The app UI is simple and friendly, this makes being consistent with the tracking easy. Not giving 5 stars cause there could be a few improvements: 1. Have a web version for logging kcal on the go when on the laptop and away from the phone. 2. Frequent foods are siloed in each meal. If I wanna log an item at dinner but I usually eat it at lunch I'll have to look it up again. 3. Search could show frequent foods or foods already used first to partially address point 2",Not giving 5 stars cause there could be a few improvements:,Anticipation,Sadness,doubt between anticipation and sadness,Anticipation,Sadness,,Joy,Anticipation,"""few improvements...""",Anticipation,Sadness
WhatsApp Wallpaper,PERSONALIZATION,0d34f7dd-a0ee-4a47-afa6-b2d1ad5d5485,0,"Mar 13, 2022",5,f_180,awesome team work but this application does need updating now Twice a year since it hasn't been updated since may 2011 it would be great if you update this application every month and year like you do with WhatsApp👍 💝💝💝❤❤️👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍✔️✔,awesome team work but this application does need updating now Twice a year since it hasn't been updated since may 2011 it would be great if you update this application every month and year like you do with WhatsApp👍 💝💝💝❤❤️👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍✔️✔,Joy,Anticipation,,Joy,Anticipation,,Joy,Anticipation,"two mixed feelings. For the second, I was hesitating among anticipation and sadness",Anticipation,Joy
Huawei Health,HEALTH_AND_FITNESS,0d40aa79-678e-433a-9197-5460770de8f9,0,"Jan 11, 2022",3,f_506,"HH has still many improvements to be done for classic and elegant versions of the Huawei GT2, there is only 5 activities to be able to add in the app when the watch does not track it: indoor and outdoor running, swimming on open and pool and walking. However the watch has ""Other"" For any other activity uncathegorised, let say for example you do climbing, calethenics, yoga, pilates... But if the watch was not activated to track the class or activity you can not add it on the app a posteriory....","HH has still many improvements to be done for classic and elegant versions of the Huawei GT2, there is only 5 activities to be able to add in the app when the watch does not track it: indoor and outdoor running, swimming on open and pool and walking.",Anticipation,,,Sadness,,,Sadness,,,Sadness,
